Ground Truth,Greedy Search,Beam Search,Top-K Sampling,Top-P Sampling,,Zeb,Ben ,Hamza,,Average: 
"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis .",The Palestinian Authority becomes the 123rd member of the International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki says it is a move toward greater justice.,Palestinian Authority becomes 123rd member of the International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki said it was a move toward greater justice.,The Palestinian Authority becomes the 123rd member of the International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki said it was a move toward greater justice.,"The Palestinian Authority becomes the 123rd member of the International Criminal Court. The move gives the court jurisdiction over alleged crimes in Palestinian territories. Israel and the United States, neither of which is an ICC member, opposed the Palestinians' efforts to join the body. But Palestinian Foreign Minister Riad al-Malki said it was a move toward greater justice.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",REMEMBER ONLY THE TOP 20,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia .","A dog apparently hit by a car and buried in a field survives. The dog, now named Theia, was found emaciated and dirt-covered. She suffered a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for TheIA's care.","Theia, a bully breed mix, was hit by a car and buried in a field. She was found emaciated and dirt-covered four days later. The dog suffered a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for her care.","A bully breed mix was hit by a car and buried in a field. She was found emaciated and dirt-covered four days later. The dog, now named Theia, suffered a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for her care.","Theia was apparently hit by a car and buried in a field. She was found emaciated and covered in dirt four days later. The bully breed mix suffered a dislocated jaw, leg injuries and a caved-in sinus cavity. A fundraising page has raised more than $10,000 for Theia's care.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English .",Mohammad Javad Zarif is the Iranian foreign minister. He has been John Kerry's opposite number in securing a breakthrough in nuclear discussions. But there are some facts about Zar if that are less well-known. The feds investigated him over his alleged role in controlling the Alavi Foundation.,Mohammad Javad Zarif is the Iranian foreign minister. He has been John Kerry's opposite number in securing a breakthrough in nuclear discussions. But there are some facts about him that are less well-known. The feds investigated him over his alleged role in controlling the Alavi Foundation.,"Mohammad Javad Zarif is the Iranian foreign minister. He has been John Kerry's opposite number in securing a breakthrough in nuclear discussions. But there are some facts about him that are less well-known. In September 2013, he tweeted ""Happy Rosh Hashanah,"" referring to the Jewish New Year.",Mohammad Javad Zarif is the Iranian foreign minister. He has been U.S. Secretary of State John Kerry's opposite number in the nuclear talks. But there are some facts about him that are less well-known. His official biography cannot agree with itself on when he was born.,,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment .","The five were exposed to Ebola in Sierra Leone in March. None developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. All had contact with a colleague who was diagnosed with the disease. The last of 17 patients being monitored are expected to be released by Thursday.","The five were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area.","The five were exposed to Ebola in Sierra Leone in March. None developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. All had contact with a colleague who was diagnosed with the disease and is being treated at the National Institutes of Health in Maryland.","The five were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m.","The student admitted to hanging the noose, Duke University says. The student is no longer on campus and will face student conduct review. Officials are still trying to determine if other people were involved. Criminal investigations are ongoing.. ""This is not the Duke we're here to experience,"" the president says at a forum.",The student is no longer on campus and will face student conduct review. Officials are still trying to determine if other people were involved. The incident is one of several recent racist events to affect college students. Last month a fraternity at the University of Oklahoma had its charter removed after a video surfaced showing members using the N-word.,The student was identified during an investigation by campus police and the office of student affairs. Officials are still trying to determine if other people were involved. The incident is one of several recent racist events to affect college students. Last month a fraternity at the University of Oklahoma had its charter removed after a video surfaced.,"A student has admitted to hanging a noose from a tree near a student union, university officials say. The prestigious private school didn't identify the student, citing federal privacy laws. Students and faculty members marched Wednesday afternoon chanting ""We are not afraid. We stand together""",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral .","Trey Moses, a star basketball player, asked Ellie Meredith, who has Down syndrome, to prom. Photos of the two have gone viral. ""That's the kind of person Trey is,"" Ellie's mom says. Trey's future coach at Ball State, James Whitford, said he felt great about the prom-posal.","Trey Moses asked Ellie Meredith to be his prom date. He made the prom-posal in the gym during Ellie's P.E. class. ""She's great... she listens and she's easy to talk to,"" he said. Photos of Trey and Ellie on Twitter have gone viral.","Trey Moses asked Ellie Meredith to be his prom date. ""She's great... she listens and she's easy to talk to,"" he said. Photos of the couple have gone viral on Twitter. Ellie's mom: ""You just feel numb to those moments raising a special needs child""","Trey Moses, a basketball star at Eastern High School in Kentucky, asked Ellie Meredith to be his prom date. ""She's great... she listens and she's easy to talk to,"" he said. Photos of Trey and Ellie have gone viral on social media. Ellie's mom: ""You just feel numb to those moments raising a special needs child""",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of terrorism to advance executions .
The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","Amnesty International says governments are using the threat of terrorism to advance executions. The organization's annual report catalogs the use of state-sanctioned killing as a punitive measure. At least 607 people were executed around the world in 2014, compared to 778 in 2013.","Amnesty International's annual report catalogs the use of state-sanctioned killing as a punitive measure. The number of executions worldwide has gone down by almost 22% on the previous year. At least 2,466 people globally are confirmed to have been handed the sentence last year, an increase of 28%.","Amnesty International's annual report catalogs the use of state-sanctioned killing as a punitive measure. At least 607 people were executed around the world in 2014, compared to 778 in 2013. The U.S. remains one of the worst offenders for imposing capital punishment, with only Iran, Iraq and Saudi Arabia executing more people.","Amnesty International's annual report catalogs the use of state-sanctioned killing as a punitive measure. The number of executions worldwide has gone down by almost 22% on the previous year. At least 2,466 people globally are confirmed to have been handed the sentence last year, an increase of 28% compared with 2013.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time .","Andrew Getty, 47, was found dead in his home. He was the grandson of oil tycoon J. Paul Getty. The Gettys are estimated to be worth about $5 billion. Andrew Getty had ""several health issues,"" police say.. A hearing in the case had been scheduled for next week.","Andrew Getty appears to have died of natural causes, police say. He was found on his side near a bathroom in his home, KTLA reports. Andrew Getty, 47, had ""several health issues,"" a police spokesman says. His parents have released a statement confirming their son's death.","Andrew Getty, 47, had ""several health issues,"" police say. He was found on his side near a bathroom in his home, KTLA reports. The coroner's preliminary assessment is there was no foul play involved in the death, a police spokesman says. There is no criminal investigation underway, he adds.","Andrew Getty appears to have died of natural causes, police say. The coroner's preliminary assessment is there was no foul play involved in the death. Andrew Getty, 47, had ""several health issues,"" a police spokesman says. Getty was found on his side near a bathroom in his home, KTLA reports.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines .","Maysak gained super typhoon status just a few days ago. It's now a tropical storm, but still packing winds of more than 70 mph. Authorities are barring outdoor activities like swimming, surfing, diving and boating. The storm is expected to make landfall Sunday morning.","Maysak gained super typhoon status just a few days ago. It has since lost steam and is now classified as a tropical storm. The storm is expected to make landfall Sunday morning on the southeastern coast of Isabela province. Authorities are barring outdoor activities like swimming, surfing, diving and boating.","Maysak gained super typhoon status just a few days ago. It has since lost steam and is now classified as a tropical storm. Authorities are barring outdoor activities like swimming, surfing, diving and boating in some locales. The storm is expected to make landfall Sunday morning.","Maysak gained super typhoon status just a few days ago. It's now classified as a tropical storm. The storm is expected to make landfall Sunday morning on the southeastern coast of Isabela province. Authorities have barred outdoor activities like swimming, surfing, diving and boating in some locales.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 .","Bob Barker returned to ""The Price Is Right"" for the first time in eight years. Barker hosted the show for 35 years before stepping down in 2007. He handled the classic ""Lucky Seven"" game. Drew Carey finished up the April 1 edition.. The show airs on ABC.","Bob Barker returned to ""The Price Is Right"" for the first time in eight years. The 91-year-old hosted the show for 35 years before stepping down in 2007. Drew Carey finished up hosting duties on the April 1 edition of the game show, which was Barker's last.","Bob Barker returned to ""The Price Is Right"" for the first time in eight years. Barker hosted the TV game show for 35 years before stepping down in 2007. The 91-year-old looked spry at 91 on the April 1 edition of the show. He handled the classic ""Lucky Seven"" game before handing over to Drew Carey.","Bob Barker returned to host ""The Price Is Right"" for the first time in eight years. The 91-year-old hosted the show for 35 years before stepping down in 2007. Drew Carey finished up hosting duties on the April 1 edition of the game show.angler: Jeff Pearlman.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul .
He's been charged with terror offenses allegedly committed since the start of November .","Yahya Rashid, 19, was arrested at Luton airport on Tuesday. He's charged with engaging in conduct in preparation of acts of terrorism. RashID is due to appear in court on Wednesday. The charges relate to the period between November 1 and March 31.","Yahya Rashid, 19, was arrested at Luton airport on Tuesday, police say. He's charged with engaging in conduct in preparation of acts of terrorism and assisting others to commit such acts. Both charges relate to the period between November 1 and March 31, according to police.","Yahya Rashid, 19, was arrested at Luton airport on Tuesday, police say. He's charged with engaging in conduct in preparation of acts of terrorism. The 19-year-old is due to appear in court on Wednesday, according to London police.","Yahya Rashid, 19, was detained at Luton airport on Tuesday after he arrived on a flight from Istanbul. He's been charged with engaging in conduct in preparation of acts of terrorism, police say. RashID is due to appear in Westminster Magistrates' Court on Wednesday.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"""Furious 7"" pays tribute to star Paul Walker, who died during filming .
Vin Diesel: ""This movie is more than a movie""
""Furious 7"" opens Friday .","Paul Walker died in a car crash in November 2013. The film ""Furious 7"" is released Friday. There have been multiple tributes to Walker leading up to the release. ""You'll feel it when you see it,"" said co-star Vin Diesel. 'It's bittersweet, but I think Paul would be proud,"" says Walker's brother.","Paul Walker's death in November 2013 after a car crash was especially eerie given his rise to fame in the ""Fast and Furious"" film franchise. ""He was a person of humility, integrity, and compassion,"" military veteran Kyle Upham said in an email to CNN. There have been multiple tributes to Walker leading up to the release.","Paul Walker died in a car crash in November 2013. The film ""Furious 7"" is out Friday. There have been multiple tributes to Walker leading up to the film's release. ""You'll feel it when you see it,"" said co-star Vin Diesel.","Paul Walker died in a car crash in November 2013. His character in ""Furious 7"" was not killed off. Co-star Vin Diesel: ""You'll feel it when you see it"" ""It's bittersweet, but I think Paul would be proud,"" says Walker's brother.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Museum: Anne Frank died earlier than previously believed .
Researchers re-examined archives and testimonies of survivors .
Anne and older sister Margot Frank are believed to have died in February 1945 .","Anne Frank died of typhus in a Nazi concentration camp at the age of 15. The date of death had previously been determined by Dutch authorities. Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial.","Anne Frank died of typhus in a Nazi concentration camp at the age of 15. Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial. They concluded that Anne and Margot probably did not survive to March 1945.","Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial. They concluded that Anne and Margot probably did not survive to March 1945 -- contradicting the date of death. Days at the camp were filled with terror and dread, witnesses said.","Anne Frank died of typhus in a Nazi concentration camp at the age of 15. The date of death had previously been determined by Dutch authorities. Researchers re-examined archives of the Red Cross, the International Training Service and the Bergen-Belsen Memorial. They concluded that Anne and Margot probably did not survive to March 1945.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016 .
Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars, he says.  Equality for LGBT has not yet ""won"" in America .",Mike Pence is drawing huge heat for his controversial decision to sign a religious freedom law. Julian Zelizer: The issue of LGBT rights will be a bit player in the 2016 general election. He says the GOP primary will turn numerous Americans into single-issue voters. Zelizers: Republicans want the Supreme Court to rule in favor of same-sex marriage.,Mike Pence signed a religious freedom law that opens the door to discrimination against gays and lesbians. Julian Zelizer: Pence has scored a lot of points this week among ultraconservatives. He says there is no way a Republican can get through the pending primary without denouncing LGBT rights. Zelizers: The issue will turn numerous Americans into single-issue voters.,Mike Pence is drawing huge heat for his controversial decision to sign a religious freedom law that opens the door to discrimination against gays and lesbians. Frida Ghitis: There's a very powerful wing of his party that wants a conservative as its 2016 candidate and this bill was Pence's way of shoring up his street cred. She says there is no way a Republican can get through the pending primary without denouncing LGBT rights.,"Mike Pence signed a religious freedom law that opens the door to discrimination against gays and lesbians. Julian Zelizer: Pence has scored a lot of points this week among ultraconservatives. But the very public debate that now embroils him is more than enough to drag the entire Republican field farther to the right, he says.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Singing the national anthem is a risky proposition .
Whitney Houston nailed it; Roseanne Barr destroyed it .",Mötley Crüe's Vince Neil butcheered the song at an Arena Football League game. The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV. Jimi Hendrix inflamed mainstream America with his psychedelic take on the anthem.,"Mötley Crüe's Vince Neil reminded us of the dangers of tackling ""The Star-Spangled Banner"" The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV. Jimi Hendrix inflamed mainstream America with his psychedelic take on the anthem.","Mötley Crüe's Vince Neil reminded us of the dangers of tackling ""The Star-Spangled Banner"" The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV. Jimi Hendrix inflamed mainstream America with his psychedelic take on the anthem.","Mötley Crüe's Vince Neil reminded us of the dangers of tackling ""The Star-Spangled Banner"" The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV. President George H. W. Bush called Roseanne Barr's rendition ""disgraceful""",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"While Republican Gov. Asa Hutchinson was weighing an Arkansas religious freedom bill, Walmart voiced its opposition .
Walmart and other high-profile businesses are showing their support for gay and lesbian rights .
Their stance puts them in conflict with socially conservative Republicans, traditionally seen as allies .","Walmart's opposition to a religious freedom law in Arkansas puts the company at odds with many in the Republican Party. The company's political action committee has tended to support the GOP. It has been a gradual transformation for Walmart, which has added protections for gender identity.","Walmart is emerging as a bellwether for shifting public opinion on hot-button political issues. Former Minnesota Gov. Tim Pawlenty says Walmart's actions ""foreshadow where the Republican Party will need to move"" The backlash over the religious freedom measures in Indiana and Arkansas this week is shining a bright light on the broader business community's overwhelming support for workplace policies that promote gay equality.","Walmart is emerging as a bellwether for shifting public opinion on hot-button political issues. Former Minnesota Gov. Tim Pawlenty says Walmart's actions ""foreshadow where the Republican Party will need to move"" The backlash over the religious freedom measures in Indiana and Arkansas this week is shining a bright light on the broader business community's overwhelming support for workplace policies that promote gay equality.","Walmart's opposition to a religious freedom law in its home state of Arkansas resonated most deeply. The company is emerging as a bellwether for shifting public opinion on hot-button political issues. Former Minnesota Gov. Tim Pawlenty said Walmart's actions ""foreshadow where the Republican Party will need to move""",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading .
Salil Shetty: Countries that use executions to deal with problems are on the wrong side of history .","Amnesty International releases its annual review of the death penalty worldwide. Amnesty International: Governments using death penalties to tackle crime and terrorism. In Pakistan, the government lifted a six-year moratorium on the execution of civilians. Jordan ended an eight- years moratorium in December, putting 11 murder convicts to death.","Amnesty International releases its annual review of the death penalty worldwide. In Pakistan, the government lifted a six-year moratorium on the execution of civilians. Iran and Iraq executed people for ""terrorism,"" and other countries expanded the scope of capital crimes. There is no evidence that the threat of execution is more of a deterrent to crime than a prison sentence.","Amnesty International releases its annual review of the death penalty worldwide. In Pakistan, the government lifted a six-year moratorium on the execution of civilians. Iran and Iraq executed people for ""terrorism,"" and other countries expanded the scope of capital crimes. There is no evidence that the threat of execution is more of a deterrent to crime than a prison sentence.","Amnesty International releases its annual review of the death penalty worldwide. In Pakistan, the government lifted a six-year moratorium on the execution of civilians. Iran and Iraq executed people for ""terrorism,"" and other countries expanded the scope of capital crimes. There is no evidence that the threat of execution is more of a deterrent to crime than a prison sentence.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports .
Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor says .
Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression, airline says .","French prosecutor says he's not aware of any video footage from on board the plane. German media reports that they have found cell phone video of the crash. A Gendarmerie spokesman says the reports are ""completely wrong"" and ""unwarranted"" German airline Lufthansa says co-pilot Andreas Lubitz had battled depression.","French prosecutor says he is not aware of any video footage from on board the plane. Two magazines claim to have found a cell phone video showing the harrowing final seconds. ""It is a very disturbing scene,"" editor-in-chief of Bild online says. German airline Lufthansa confirms co-pilot Andreas Lubitz had battled depression.","A French prosecutor says he is not aware of any video footage from on board the plane. German daily Bild and Paris Match claim to have found a cell phone video of the crash. ""It is a very disturbing scene,"" the editor-in-chief of Bild says. Lufthansa confirms co-pilot Andreas Lubitz battled depression years before he took the controls.","Prosecutor: ""A person who has such a video needs to immediately give it to the investigators"" German daily Bild and Paris Match claim to have found a cell phone video of the crash. A French Gendarmerie spokesman says the reports are ""completely wrong"" and ""unwarranted""",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"The Rev. Robert Schuller, 88, had been diagnosed with esophageal cancer in 2013 .
His TV show, ""Hour of Power,"" was enormously popular in the 1970s and 1980s .","The Rev. Robert H. Schuller was diagnosed with esophageal cancer in August 2013. He was also the founder of Crystal Cathedral megachurch. His confident, breezy version of Christianity drew hordes of seekers. But his family was beset by a succession of scandals.","The Rev. Robert H. Schuller was diagnosed with esophageal cancer in August 2013. He was the founder of the television ministry ""Hour of Power"" He sold a softer, gentler message, which borrowed heavily from the father of feel-good gospel, Norman Vincent Peale.","The Rev. Robert H. Schuller was diagnosed with esophageal cancer in August 2013. He was the founder of ""Hour of Power"" and the Crystal Cathedral megachurch. His confident, breezy version of Christianity drew hordes of seekers and lapsed Christians. ""He was a master at that,"" a Christian thought professor says.","The Rev. Robert H. Schuller was diagnosed with esophageal cancer in August 2013. He was also the founder of Crystal Cathedral megachurch in California. His confident, breezy version of Christianity drew hordes of seekers and lapsed Christians. The church filed for bankruptcy in 2010, citing debts of more than $43 million.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
"Former GOP representative compares President Obama to Andreas Lubitz .
Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks""
Reaction on social media? She was blasted by Facebook commenters .","Michele Bachmann compared President Obama to the co-pilot of the doomed Germanwings flight. Bachman: ""With his Iran deal, Barack Obama is for the 300 million souls of U.S. what Andreas Lubitz was for 150 souls"" Many comments posted on her Facebook page blasted the former representative.",Michele Bachmann compared President Obama to the co-pilot of the doomed Germanwings flight. The Minnesota Republican and former representative made the comment in a Facebook post. Many comments posted on her Facebook page blasted the former rep. She is no stranger to voicing her opinion on the President's dealing with Iran.,"Michele Bachmann compared President Obama to the co-pilot of the doomed Germanwings flight. ""With his Iran deal, Barack Obama is for the 300 million souls... a deranged pilot flying his entire nation into the rocks,"" she wrote in a Facebook comment. The former representative from Minnesota is no stranger to voicing her opinion on Iran.","Michele Bachmann compares President Obama to the co-pilot of the doomed Germanwings flight. ""With his Iran deal, Barack Obama is for the 300 million souls of QUESTIONABLE,"" she wrote in a Facebook comment. Many comments posted on her Facebook page blasted the former representative.",,"Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:","Greedy:
Beam: 
Top-K: 
Top-P:",,"Greedy:
Beam: 
Top-K: 
Top-P:"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
